lista_hombres,frecuencia,frecuencia_%
1212,0.0007680491551459293,0.08
148,0.0007680491551459293,0.08
267,0.0007680491551459293,0.08
349,0.0007680491551459293,0.08
286,0.0007680491551459293,0.08
716,0.0007680491551459293,0.08
1179,0.0007680491551459293,0.08
484,0.0007680491551459293,0.08
589,0.0007680491551459293,0.08
256,0.0007680491551459293,0.08
321,0.0007680491551459293,0.08
739,0.0007680491551459293,0.08
403,0.0007680491551459293,0.08
1225,0.0007680491551459293,0.08
715,0.0007680491551459293,0.08
1315,0.0007680491551459293,0.08
599,0.0007680491551459293,0.08
347,0.0007680491551459293,0.08
401,0.0007680491551459293,0.08
300,0.0007680491551459293,0.08
776,0.0007680491551459293,0.08
841,0.0007680491551459293,0.08
121,0.0007680491551459293,0.08
836,0.0007680491551459293,0.08
1038,0.0007680491551459293,0.08
843,0.0007680491551459293,0.08
1156,0.0007680491551459293,0.08
129,0.0007680491551459293,0.08
564,0.0007680491551459293,0.08
1383,0.0007680491551459293,0.08
551,0.0007680491551459293,0.08
360,0.0007680491551459293,0.08
336,0.0007680491551459293,0.08
324,0.0007680491551459293,0.08
707,0.0007680491551459293,0.08
1114,0.0007680491551459293,0.08
1513,0.0007680491551459293,0.08
214,0.0007680491551459293,0.08
180,0.0007680491551459293,0.08
206,0.0007680491551459293,0.08
788,0.0007680491551459293,0.08
912,0.0007680491551459293,0.08
875,0.0007680491551459293,0.08
332,0.0007680491551459293,0.08
125,0.0007680491551459293,0.08
660,0.0007680491551459293,0.08
354,0.0007680491551459293,0.08
232,0.0007680491551459293,0.08
169,0.0007680491551459293,0.08
138,0.0007680491551459293,0.08
1018,0.0007680491551459293,0.08
633,0.0007680491551459293,0.08
1478,0.0007680491551459293,0.08
1912,0.0007680491551459293,0.08
1192,0.0007680491551459293,0.08
452,0.0007680491551459293,0.08
245,0.0007680491551459293,0.08
147,0.0007680491551459293,0.08
956,0.0007680491551459293,0.08
685,0.0007680491551459293,0.08
614,0.0007680491551459293,0.08
720,0.0007680491551459293,0.08
57,0.0007680491551459293,0.08
